n2,n3,n4,first,second,third,fourth,fifth,n2_size,n3_size,n4_size,total,t_size
4,5,3,0.187929205498057,0.065266364081294,0.0438410931511111,0.0301102160975644,0.0219413846908386,46876184,57527904,70136712,0.349088263518865,166.455078125
3,4,4,0.186715802770367,0.0653543467013247,0.0440518958680642,0.030171465750217,0.0218405346075896,58272968,71987824,48800632,0.348134045697563,170.76628112793
4,3,5,0.188032408935898,0.0667471540986582,0.0440533826782837,0.0301276429507833,0.0221795859303816,46876184,95910408,36800744,0.351140174594005,171.26782989502
5,4,3,0.190319144706836,0.0656306459954039,0.0441224003337956,0.030017034804322,0.0219264623096085,39527936,71987824,70136712,0.352015688149966,173.237297058105
5,3,4,0.190171469135896,0.0666493471211736,0.0444584946931815,0.0300424954688371,0.0224560550541508,39527936,95910408,48800632,0.353777861473239,175.703979492188
2,5,4,0.184292822265081,0.0649794133845438,0.0438277439347701,0.030062633370487,0.0220368115491523,78769376,57527904,48800632,0.345199424504034,176.523124694824
3,5,3,0.18809610376176,0.0653301588449212,0.0438757594021315,0.0302202808641405,0.0220631787759188,58272968,57527904,70136712,0.349585481648872,177.32389831543
2,4,5,0.184781862258955,0.0656206549197412,0.0436953145905021,0.030098495475237,0.0218220692542532,78769376,71987824,36800744,0.346018396498688,178.869194030762
4,4,3,0.190440086821636,0.0656631414993611,0.0441021861178443,0.0300873483864275,0.0218301410033657,46876184,71987824,70136712,0.352122903828635,180.245132446289
3,3,5,0.188188671164715,0.0668109488622854,0.044088048929304,0.0302323896999162,0.0223013800154619,58272968,95910408,36800744,0.351621438671682,182.136650085449
4,3,4,0.190292411250696,0.0666818426251308,0.0444329624597871,0.0301128090509426,0.0223597337479081,46876184,95910408,48800632,0.353879759134465,182.711814880371
2,4,4,0.187041864573753,0.0655517175252299,0.0440884915756953,0.0300800719136222,0.0219958354508479,78769376,71987824,48800632,0.348757981039148,190.313179016113
3,4,3,0.190606985085339,0.0657269362629883,0.0441368523688647,0.0301974131530036,0.021951935088446,58272968,71987824,70136712,0.352620121958642,191.113952636719
3,3,4,0.190448673479513,0.066745637388758,0.0444676287108075,0.0302175558000755,0.0224815278329883,58272968,95910408,48800632,0.354361023212142,193.580635070801
5,3,3,0.193475056471776,0.0668498803702988,0.0445844227299538,0.0298655190676158,0.0225281745892658,39527936,95910408,70136712,0.357303053228911,196.051651000977
2,5,3,0.188422165565146,0.0655275296688264,0.0439123551097626,0.0301288870275457,0.0222184796191772,78769376,57527904,70136712,0.350209416990458,196.870796203613
2,3,5,0.188514732968101,0.0670083196861906,0.0441246446369351,0.0301409958633214,0.0224566808587202,78769376,95910408,36800744,0.352245374013268,201.683547973633
4,3,3,0.193595998586576,0.066882375874256,0.0445588904965594,0.0299358326497213,0.022431853283023,46876184,95910408,70136712,0.357404950890136,203.05948638916
5,5,2,0.195859656224328,0.0670953618051067,0.044492399450563,0.03007686928261,0.0222603302228078,39527936,57527904,117654840,0.359784616985416,204.764060974121
5,2,5,0.193114288538763,0.0680633668769179,0.044860374974261,0.0302348126450298,0.0230428800726966,39527936,143558016,36800744,0.359315723107669,209.700294494629
2,4,3,0.190933046888725,0.0659243070868935,0.0441734480764958,0.0301060193164087,0.0221072359317043,78769376,71987824,70136712,0.353244057300227,210.660850524902
4,5,2,0.195980598339128,0.0671278573090639,0.0444721852346117,0.0301471828647155,0.0221712607585329,46876184,57527904,117654840,0.359899084506052,211.771896362305
2,3,4,0.190774735282899,0.0669430082126632,0.0445042244184386,0.0301261619634807,0.0226368286762466,78769376,95910408,48800632,0.354984958553728,213.127532958984
3,3,3,0.193752260815393,0.0669461706378832,0.0445935567475798,0.0300405793988542,0.0225536473681033,58272968,95910408,70136712,0.357886214967814,213.92830657959
4,2,5,0.193225259370857,0.0680958623808751,0.0448348427408666,0.0303051262271353,0.0229610624503895,46876184,143558016,36800744,0.359422153170124,216.708129882813
5,4,2,0.198035261171419,0.0675726493970152,0.0447265170389346,0.0300185870108058,0.0222102044419609,39527936,71987824,117654840,0.362563219060136,218.55411529541
5,2,4,0.195368381945291,0.0680039643116606,0.0452344533584095,0.0302254801425441,0.023223027890223,39527936,143558016,48800632,0.362055307648129,221.14427947998
3,5,2,0.196136860567945,0.0671916520726911,0.0445068514856321,0.0302572476312916,0.0222930548436131,58272968,57527904,117654840,0.360385666601173,222.640716552734
4,4,2,0.198156203286219,0.0676051449009724,0.0447063028229833,0.0300889005929113,0.0221138831357181,46876184,71987824,117654840,0.362670434738804,225.561950683594
3,2,5,0.193355817848699,0.0681672543122782,0.0448315231530078,0.0304174701440442,0.0230828565354698,58272968,143558016,36800744,0.359854921993499,227.576950073242
4,2,4,0.195479352777385,0.0680364598156178,0.0452089211250152,0.0302957937246496,0.023141210267916,46876184,143558016,48800632,0.362161737710584,228.152114868164
2,3,3,0.194078322618779,0.0671435414617884,0.0446301524552109,0.0299491855622594,0.0227089482113616,78769376,95910408,70136712,0.358510150309399,233.475204467773
3,4,2,0.198312465515036,0.0676689396645996,0.0447409690740037,0.0301989653594874,0.0222356772207984,58272968,71987824,117654840,0.363157016833925,236.430770874023
3,2,4,0.195609911255227,0.0681078517470209,0.0452056015371563,0.0304081376415584,0.0232630043529962,58272968,143558016,48800632,0.362594506533959,239.020935058594
5,3,2,0.200884192982795,0.0686153328783911,0.0449780063182641,0.0299325724898533,0.0228056833049184,39527936,95910408,117654840,0.367215787974222,241.368469238281
5,2,3,0.198671969281172,0.0682044975607858,0.0453603813951819,0.0300370088961663,0.0233197149889583,39527936,143558016,70136712,0.365593572122264,241.49195098877
2,5,2,0.196462922371331,0.0673890228965963,0.0445434471932632,0.0301658537946967,0.0224483556868714,78769376,57527904,117654840,0.361009601942759,242.187614440918
2,2,5,0.193663909428308,0.0683438446478553,0.0448604871602822,0.0303184791396735,0.0232309055367602,78769376,143558016,36800744,0.360417625912879,247.123847961426
4,3,2,0.201005135097595,0.0686478283823484,0.0449524740848697,0.0300028860719588,0.0227093619986756,46876184,95910408,117654840,0.367317685635447,248.376304626465
4,2,3,0.198782940113266,0.068236993064743,0.0453348491617875,0.0301073224782718,0.0232378973666512,46876184,143558016,70136712,0.365700002184719,248.499786376953
2,4,2,0.198638527318422,0.0678663104885048,0.0447775647816348,0.0301075715228926,0.0223909780640567,78769376,71987824,117654840,0.363780952175511,255.977668762207
2,2,4,0.195918002834836,0.068284442082598,0.0452345655444307,0.0303091466371877,0.0234110533542867,78769376,143558016,48800632,0.363157210453339,258.567832946777
3,3,2,0.201161397326412,0.0687116231459756,0.0449871403358901,0.0301076328210917,0.0228311560837559,58272968,95910408,117654840,0.367798949713125,259.245124816895
3,2,3,0.198913498591108,0.0683083849961461,0.0453315295739286,0.0302196663951806,0.0233596914517315,58272968,143558016,70136712,0.366132771008094,259.368606567383
2,3,2,0.201487459129797,0.0689089939698808,0.0450237360435212,0.0300162389844969,0.0229864569270142,78769376,95910408,117654840,0.368422885054711,278.792022705078
2,2,3,0.199221590170716,0.0684849753317232,0.045360493581203,0.0301206753908099,0.0235077404530219,78769376,143558016,70136712,0.366695474927474,278.915504455566
5,2,2,0.204139468974224,0.0697888378018198,0.0455894826415197,0.0300097429889097,0.0234896197118525,39527936,143558016,117654840,0.373017152118325,286.808769226074
4,2,2,0.204250439806318,0.069821333305777,0.0455639504081253,0.0300800565710152,0.0234078020895455,46876184,143558016,117654840,0.373123582180781,293.816604614258
3,2,2,0.20438099828416,0.0698927252371801,0.0455606308202664,0.030192400487924,0.0235295961746257,58272968,143558016,117654840,0.373556351004156,304.685424804688
2,2,2,0.204689089863768,0.0700693155727572,0.0455895948275409,0.0300934094835533,0.0236776451759162,78769376,143558016,117654840,0.374119054923536,324.232322692871
